mt20Id,url,title,genre_hint,genre_norm,is_musical,공연기간,공연장소,공연시간,관람연령,티켓가격,출연진,창작자,제작진,주최·주관,기획·제작,최종수정
PF113665,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113665,베르테르,뮤지컬,뮤지컬,True,2013.12.03(화) ~ 2014.01.12(일),예술의전당 [서울] CJ 토월극장,"화요일(20:00) / 수요일(15:00,20:00) / 목요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(14:00,18:30)",만 7세이상,"R석 110,000원 / S석 90,000원 / A석 60,000원","임태경, 엄기준, 전미도, 이지혜, 이상현, 양준모, 최나래, 이승재, 최성원, 김경하 등",,"고선웅, 정민선, 김병석, 심상태, 조광화, 구소영, 이지원, 노지현, 정승호, 정태진 등",해당정보 없음,(주)CJ ENM(제작),2015.07.06
PF113679,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113679,또봇: 아빠의 노래,뮤지컬,뮤지컬,True,2014.01.11(토) ~ 2014.03.02(일),국립중앙박물관 극장 용,"화요일 ~ 금요일(11:00,14:30) / 토요일(11:00,14:30,17:00) / 일요일(11:00,14:30)",24개월이상,"VIP석 55,000원 / R석 44,000원 / S석 33,000원","송욱경, 서주성",,해당정보 없음,해당정보 없음,(주)힘컨텐츠(제작),2015.07.23
PF113713,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113713,구름빵,뮤지컬,뮤지컬,True,2014.01.10(금) ~ 2017.05.31(수),국립극장 해오름극장,"화요일 ~ 금요일(11:00,14:00) / 토요일 ~ 일요일(11:00,14:00,16:30)",24개월 이상,"VIP석 55,000원 / R석 50,000원 / S석 40,000원 / A석 30,000원","이윤희, 이석우 등",,(주)구름빵,해당정보 없음,(재)국립극장진흥재단(제작),2020.06.02
PF113844,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113844,소서노,뮤지컬,뮤지컬,True,2014.03.24(월) ~ 2014.03.29(토),예술의전당 [서울] 오페라극장,월요일 ~ 금요일(20:00) / 토요일(15:00) / 일요일(19:00),만 7세이상,"R석 80,000원 / S석 60,000원 / A석 40,000원 / B석 20,000원","조정은, 박영수, 김혜원, 김도빈, 이시후, 박석용",,"정혜진, 이희준, 이곤, 김길려, 이성구, 이태섭, 김혜림, 민천홍, 박은혜, 정재진, 나한수 등",해당정보 없음,(재)서울예술단(제작),2015.07.06
PF113886,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113886,백설공주를 사랑한 난장이,뮤지컬,뮤지컬,True,2014.01.24(금) ~ 2014.02.19(수),아르코예술극장 대극장,"화요일(15:00) / 수요일(15:00,20:00) / 목요일(15:00) / 금요일(20:00) / 토요일(15:00,18:00) / 일요일(14:00,17:00)",만 7세 이상,"R석 50,000원 / S석 35,000원 / A석 25,000원","최보영, 윤석현, 이나영, 나유진, 오정훈, 윤나리, 강연정, 이경진, 이예린, 정휘",,해당정보 없음,해당정보 없음,(주)쇼플레이(제작),2015.07.06
PF113891,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113891,카르멘,뮤지컬,뮤지컬,True,2013.12.06(금) ~ 2014.02.23(일),구. LG아트센터,"월요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(14:00,18:30) / * 1월 30일 2시, 6시30분 공연 / 1월 31일 6시30분 공연 / 2월 1일 2시, 6시 30분",만 7세이상,"VIP석 130,000원 / R석 110,000원 / S석 80,000원 / A석 60,000원","차지연, 류정한, 신성록, 임혜영, 이정화, 최수형, 이정열 등",,"프랭크 와일드혼, 잭 머피, 노먼 알렌",클립서비스(주관),(주)뮤지컬해븐(제작) / 오넬컴퍼니(제작),2020.08.24
PF113980,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113980,식구를 찾아서,뮤지컬,뮤지컬,True,2014.01.15(수) ~ 2014.02.02(일),대학로예술극장 대극장,"화요일 ~ 목요일(20:00) / 금요일(15:00,20:00) / 토요일(15:00,18:00) / 일요일(15:00)",만 9세이상,"R석 50,000원 / S석 30,000원 / A석 10,000원","주은, 유정민, 백현주, 김현정, 이상은, 이성욱, 김태경",,해당정보 없음,해당정보 없음,MJ플래닛(엠제이플래닛)(제작),2015.07.06
PF114008,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114008,영웅,뮤지컬,뮤지컬,True,2014.01.07(화) ~ 2014.02.16(일),예술의전당 [서울] 오페라극장,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:00) / 일요일(14:00,18:00)",만 7세이상,"영웅석(1,2층) 70,000원 / 동지석(3층) 50,000원 / 독립군석(4층) 30,000원","JK김동욱, 강태을, 김승대, 김도형, 이희정, 오진영, 이해리 등",,해당정보 없음,해당정보 없음,(주) 에이콤(ACOM)(제작) / 예술의전당(제작),2015.07.06
PF114098,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114098,해를 품은 달,뮤지컬,뮤지컬,True,2014.01.18(토) ~ 2014.02.23(일),예술의전당 [서울] CJ 토월극장,"월요일 ~ 화요일(20:00) / 수요일(15:00,20:00) / 금요일(20:00) / 토요일(15:00,19:00) / 일요일(14:00,18:00)",만 7세이상,"R석 110,000원 / S석 90,000원 / A석 60,000원","김다현, 전동석, 규현, 린아, 정재은, 서현, 강필석, 조휘, 최현선, 박시현, 서형훈 등",,해당정보 없음,해당정보 없음,(주)CJ ENM(제작) / (주)쇼플레이(제작),2015.07.06
PF114175,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114175,보이첵,뮤지컬,뮤지컬,True,2014.10.09(목) ~ 2014.11.08(토),구. LG아트센터,"화요일 ~ 금요일(20:00) / 토요일 ~ 일요일(15:00,19:00) / * 10.9(목) 7pm 공연",만 15세 이상,"R석 80,000원 / S석 60,000원 / A석 40,000원","김다현, 김수용, 김소향, 김법래, 정의욱, 박성환, 박송권 등",,"윤호진, 장소영, 이란영 등",(주) 에이콤(ACOM)(주최) / LG아트센터(주최),(주) 에이콤(ACOM)(제작) / LG아트센터(제작),2020.08.24
